NAME,STATE,POPULATION
New York city,New York,8622698
Los Angeles city,California,3999759
Chicago city,Illinois,2716450
Houston city,Texas,2312717
Phoenix city,Arizona,1626078
Philadelphia city,Pennsylvania,1580863
San Antonio city,Texas,1511946
San Diego city,California,1419516
Dallas city,Texas,1341075
San Jose city,California,1035317
Austin city,Texas,950715
Jacksonville city,Florida,892062
San Francisco city,California,884363
Columbus city,Ohio,879170
Fort Worth city,Texas,874168
Charlotte city,North Carolina,859035
Seattle city,Washington,724745
Denver city,Colorado,704621
Boston city,Massachusetts,685094
El Paso city,Texas,683577
Detroit city,Michigan,673104
Memphis city,Tennessee,652236
Portland city,Oregon,647805
Oklahoma City city,Oklahoma,643648
Las Vegas city,Nevada,641676
Baltimore city,Maryland,611648
Milwaukee city,Wisconsin,595351
Albuquerque city,New Mexico,558545
Tucson city,Arizona,535677
Fresno city,California,527438
Sacramento city,California,501901
Mesa city,Arizona,496401
Kansas City city,Missouri,488943
Atlanta city,Georgia,486290
Long Beach city,California,469450
Omaha city,Nebraska,466893
Raleigh city,North Carolina,464758
Colorado Springs city,Colorado,464474
Miami city,Florida,463347
Virginia Beach city,Virginia,450435
Oakland city,California,425195
Minneapolis city,Minnesota,422331
Tulsa city,Oklahoma,401800
Arlington city,Texas,396394
New Orleans city,Louisiana,393292
Wichita city,Kansas,390591
Cleveland city,Ohio,385525
Tampa city,Florida,385430
Bakersfield city,California,380874
Aurora city,Colorado,366623
Anaheim city,California,352497
Santa Ana city,California,334136
Riverside city,California,327728
Corpus Christi city,Texas,325605
Stockton city,California,310496
St. Louis city,Missouri,308626
St. Paul city,Minnesota,306621
Henderson city,Nevada,302539
Pittsburgh city,Pennsylvania,302407
Cincinnati city,Ohio,301301
Greensboro city,North Carolina,290222
Plano city,Texas,286143
Newark city,New Jersey,285154
Lincoln city,Nebraska,284736
Orlando city,Florida,280257
Irvine city,California,277453
Toledo city,Ohio,276491
Jersey City city,New Jersey,270753
Chula Vista city,California,270471
Durham city,North Carolina,267743
Fort Wayne city,Indiana,265904
St. Petersburg city,Florida,263255
Laredo city,Texas,260654
Buffalo city,New York,258612
Madison city,Wisconsin,255214
Lubbock city,Texas,253888
Chandler city,Arizona,253458
Scottsdale city,Arizona,249950
Reno city,Nevada,248853
Glendale city,Arizona,246709
Norfolk city,Virginia,244703
Winston-Salem city,North Carolina,244605
North Las Vegas city,Nevada,242975
Chesapeake city,Virginia,240397
Irving city,Texas,240373
Hialeah city,Florida,239673
Garland city,Texas,238002
Fremont city,California,234962
Richmond city,Virginia,227032
Boise City city,Idaho,226570
Des Moines city,Iowa,217521
Spokane city,Washington,217108
San Bernardino city,California,216995
Modesto city,California,214221
Tacoma city,Washington,213418
Fontana city,California,211815
Santa Clarita city,California,210888
Birmingham city,Alabama,210710
Oxnard city,California,210037
Fayetteville city,North Carolina,209889
Rochester city,New York,208046
Moreno Valley city,California,207226
Glendale city,California,203054
Yonkers city,New York,202019
Huntington Beach city,California,201874
Aurora city,Illinois,200965
Salt Lake City city,Utah,200544
Amarillo city,Texas,199826
Montgomery city,Alabama,199518
Grand Rapids city,Michigan,198829
Little Rock city,Arkansas,198606
Akron city,Ohio,197846
Huntsville city,Alabama,194585
Columbus city,Georgia,194058
Grand Prairie city,Texas,193837
Shreveport city,Louisiana,192036
Overland Park city,Kansas,191278
Tallahassee city,Florida,191049
Mobile city,Alabama,190265
Port St. Lucie city,Florida,189344
Knoxville city,Tennessee,187347
Worcester city,Massachusetts,185677
Tempe city,Arizona,185038
Cape Coral city,Florida,183365
Brownsville city,Texas,183299
McKinney city,Texas,181330
Providence city,Rhode Island,180393
Fort Lauderdale city,Florida,180072
Newport News city,Virginia,179388
Chattanooga city,Tennessee,179139
Rancho Cucamonga city,California,177452
Frisco city,Texas,177286
Sioux Falls city,South Dakota,176888
Oceanside city,California,176193
Ontario city,California,175841
Vancouver city,Washington,175673
Santa Rosa city,California,175269
Garden Grove city,California,174226
Elk Grove city,California,171844
Pembroke Pines city,Florida,170712
Salem city,Oregon,169798
Eugene city,Oregon,168916
Peoria city,Arizona,168181
Corona city,California,167836
Springfield city,Missouri,167376
Jackson city,Mississippi,166965
Fort Collins city,Colorado,165080
Hayward city,California,160500
Lancaster city,California,160316
Alexandria city,Virginia,160035
Salinas city,California,157596
Palmdale city,California,157519
Lakewood city,Colorado,154958
Springfield city,Massachusetts,154758
Sunnyvale city,California,153656
Hollywood city,Florida,153627
Pasadena city,Texas,153520
Clarksville city,Tennessee,153205
Pomona city,California,152939
Kansas City city,Kansas,152938
Escondido city,California,151969
Paterson city,New Jersey,148678
Joliet city,Illinois,148462
Naperville city,Illinois,147682
Rockford city,Illinois,147051
Torrance city,California,146758
Bridgeport city,Connecticut,146579
Savannah city,Georgia,146444
Killeen city,Texas,145482
Bellevue city,Washington,144444
Mesquite city,Texas,143949
Syracuse city,New York,143396
McAllen city,Texas,142696
Pasadena city,California,142647
Orange city,California,140560
Fullerton city,California,140392
Dayton city,Ohio,140371
Miramar city,Florida,140328
Olathe city,Kansas,137472
Thornton city,Colorado,136978
Waco city,Texas,136436
Murfreesboro city,Tennessee,136372
Denton city,Texas,136268
West Valley City city,Utah,136170
Midland city,Texas,136089
Carrollton city,Texas,135710
Roseville city,California,135329
Warren city,Michigan,135022
Charleston city,South Carolina,134875
Hampton city,Virginia,134669
Surprise city,Arizona,134085
Columbia city,South Carolina,133114
Coral Springs city,Florida,133037
Visalia city,California,133010
Sterling Heights city,Michigan,132631
Gainesville city,Florida,132249
Cedar Rapids city,Iowa,132228
New Haven city,Connecticut,131014
Stamford city,Connecticut,130824
Elizabeth city,New Jersey,130215
Concord city,California,129783
Thousand Oaks city,California,128995
Kent city,Washington,128458
Santa Clara city,California,127134
Simi Valley city,California,126878
Topeka city,Kansas,126587
Round Rock city,Texas,123678
Hartford city,Connecticut,123400
Norman city,Oklahoma,122843
Victorville city,California,122441
Fargo city,North Dakota,122359
Berkeley city,California,122324
Vallejo city,California,122105
Abilene city,Texas,121885
Columbia city,Missouri,121717
Ann Arbor city,Michigan,121477
Allentown city,Pennsylvania,121283
Pearland city,Texas,119940
Beaumont city,Texas,119114
Wilmington city,North Carolina,119045
Evansville city,Indiana,118930
Arvada city,Colorado,118807
Provo city,Utah,117335
Independence city,Missouri,117306
Lansing city,Michigan,116986
Odessa city,Texas,116861
Richardson city,Texas,116783
Fairfield city,California,116266
El Monte city,California,116109
Rochester city,Minnesota,115733
Clearwater city,Florida,115513
Carlsbad city,California,115330
Springfield city,Illinois,114868
Temecula city,California,114327
West Jordan city,Utah,113905
Costa Mesa city,California,113825
Miami Gardens city,Florida,113750
Cambridge city,Massachusetts,113630
College Station city,Texas,113564
Murrieta city,California,113326
Downey city,California,113092
Peoria city,Illinois,112883
Westminster city,Colorado,112812
Elgin city,Illinois,112456
