REGION,STATE,CITY,POPULATION
Northeast,New York,New York,8622698
Pacific,California,Los Angeles,3999759
Midwest,Illinois,Chicago,2716450
South,Texas,Houston,2312717
Mountain,Arizona,Phoenix,1626078
Northeast,Pennsylvania,Philadelphia,1580863
South,Texas,San Antonio,1511946
Pacific,California,San Diego,1419516
South,Texas,Dallas,1341075
Pacific,California,San Jose,1035317
South,Texas,Austin,950715
South,Florida,Jacksonville,892062
Pacific,California,San Francisco,884363
Midwest,Ohio,Columbus,879170
South,Texas,Fort Worth,874168
South,North Carolina,Charlotte,859035
Pacific,Washington,Seattle,724745
Mountain,Colorado,Denver,704621
Northeast,Massachusetts,Boston,685094
South,Texas,El Paso,683577
Midwest,Michigan,Detroit,673104
South,Tennessee,Memphis,652236
Pacific,Oregon,Portland,647805
South,Oklahoma,Oklahoma City,643648
Mountain,Nevada,Las Vegas,641676
South,Maryland,Baltimore,611648
Midwest,Wisconsin,Milwaukee,595351
Mountain,New Mexico,Albuquerque,558545
Mountain,Arizona,Tucson,535677
Pacific,California,Fresno,527438
Pacific,California,Sacramento,501901
Mountain,Arizona,Mesa,496401
Midwest,Missouri,Kansas City,488943
South,Georgia,Atlanta,486290
Pacific,California,Long Beach,469450
Midwest,Nebraska,Omaha,466893
South,North Carolina,Raleigh,464758
Mountain,Colorado,Colorado Springs,464474
South,Florida,Miami,463347
South,Virginia,Virginia Beach,450435
Pacific,California,Oakland,425195
Midwest,Minnesota,Minneapolis,422331
South,Oklahoma,Tulsa,401800
South,Texas,Arlington,396394
South,Louisiana,New Orleans,393292
Midwest,Kansas,Wichita,390591
Midwest,Ohio,Cleveland,385525
South,Florida,Tampa,385430
Pacific,California,Bakersfield,380874
Mountain,Colorado,Aurora,366623
Pacific,California,Anaheim,352497
Pacific,California,Santa Ana,334136
Pacific,California,Riverside,327728
South,Texas,Corpus Christi,325605
Pacific,California,Stockton,310496
Midwest,Missouri,St. Louis,308626
Midwest,Minnesota,St. Paul,306621
Mountain,Nevada,Henderson,302539
Northeast,Pennsylvania,Pittsburgh,302407
Midwest,Ohio,Cincinnati,301301
South,North Carolina,Greensboro,290222
South,Texas,Plano,286143
Northeast,New Jersey,Newark,285154
Midwest,Nebraska,Lincoln,284736
South,Florida,Orlando,280257
Pacific,California,Irvine,277453
Midwest,Ohio,Toledo,276491
Northeast,New Jersey,Jersey City,270753
Pacific,California,Chula Vista,270471
South,North Carolina,Durham,267743
Midwest,Indiana,Fort Wayne,265904
South,Florida,St. Petersburg,263255
South,Texas,Laredo,260654
Northeast,New York,Buffalo,258612
Midwest,Wisconsin,Madison,255214
South,Texas,Lubbock,253888
Mountain,Arizona,Chandler,253458
Mountain,Arizona,Scottsdale,249950
Mountain,Nevada,Reno,248853
Mountain,Arizona,Glendale,246709
South,Virginia,Norfolk,244703
South,North Carolina,Winston-Salem,244605
Mountain,Nevada,North Las Vegas,242975
South,Virginia,Chesapeake,240397
South,Texas,Irving,240373
South,Florida,Hialeah,239673
South,Texas,Garland,238002
Pacific,California,Fremont,234962
South,Virginia,Richmond,227032
Mountain,Idaho,Boise City,226570
Midwest,Iowa,Des Moines,217521
Pacific,Washington,Spokane,217108
Pacific,California,San Bernardino,216995
Pacific,California,Modesto,214221
Pacific,Washington,Tacoma,213418
Pacific,California,Fontana,211815
Pacific,California,Santa Clarita,210888
South,Alabama,Birmingham,210710
Pacific,California,Oxnard,210037
South,North Carolina,Fayetteville,209889
Northeast,New York,Rochester,208046
Pacific,California,Moreno Valley,207226
Pacific,California,Glendale,203054
Northeast,New York,Yonkers,202019
Pacific,California,Huntington Beach,201874
Midwest,Illinois,Aurora,200965
Mountain,Utah,Salt Lake City,200544
South,Texas,Amarillo,199826
South,Alabama,Montgomery,199518
Midwest,Michigan,Grand Rapids,198829
South,Arkansas,Little Rock,198606
Midwest,Ohio,Akron,197846
South,Alabama,Huntsville,194585
South,Georgia,Columbus,194058
South,Texas,Grand Prairie,193837
South,Louisiana,Shreveport,192036
Midwest,Kansas,Overland Park,191278
South,Florida,Tallahassee,191049
South,Alabama,Mobile,190265
South,Florida,Port St. Lucie,189344
South,Tennessee,Knoxville,187347
Northeast,Massachusetts,Worcester,185677
Mountain,Arizona,Tempe,185038
South,Florida,Cape Coral,183365
South,Texas,Brownsville,183299
South,Texas,McKinney,181330
Northeast,Rhode Island,Providence,180393
South,Florida,Fort Lauderdale,180072
South,Virginia,Newport News,179388
South,Tennessee,Chattanooga,179139
Pacific,California,Rancho Cucamonga,177452
South,Texas,Frisco,177286
Midwest,South Dakota,Sioux Falls,176888
Pacific,California,Oceanside,176193
Pacific,California,Ontario,175841
Pacific,Washington,Vancouver,175673
Pacific,California,Santa Rosa,175269
Pacific,California,Garden Grove,174226
Pacific,California,Elk Grove,171844
South,Florida,Pembroke Pines,170712
Pacific,Oregon,Salem,169798
Pacific,Oregon,Eugene,168916
Mountain,Arizona,Peoria,168181
Pacific,California,Corona,167836
Midwest,Missouri,Springfield,167376
South,Mississippi,Jackson,166965
Mountain,Colorado,Fort Collins,165080
Pacific,California,Hayward,160500
Pacific,California,Lancaster,160316
South,Virginia,Alexandria,160035
Pacific,California,Salinas,157596
Pacific,California,Palmdale,157519
Mountain,Colorado,Lakewood,154958
Northeast,Massachusetts,Springfield,154758
Pacific,California,Sunnyvale,153656
South,Florida,Hollywood,153627
South,Texas,Pasadena,153520
South,Tennessee,Clarksville,153205
Pacific,California,Pomona,152939
Midwest,Kansas,Kansas City,152938
Pacific,California,Escondido,151969
Northeast,New Jersey,Paterson,148678
Midwest,Illinois,Joliet,148462
Midwest,Illinois,Naperville,147682
Midwest,Illinois,Rockford,147051
Pacific,California,Torrance,146758
Northeast,Connecticut,Bridgeport,146579
South,Georgia,Savannah,146444
South,Texas,Killeen,145482
Pacific,Washington,Bellevue,144444
South,Texas,Mesquite,143949
Northeast,New York,Syracuse,143396
South,Texas,McAllen,142696
Pacific,California,Pasadena,142647
Pacific,California,Orange,140560
Pacific,California,Fullerton,140392
Midwest,Ohio,Dayton,140371
South,Florida,Miramar,140328
Midwest,Kansas,Olathe,137472
Mountain,Colorado,Thornton,136978
South,Texas,Waco,136436
South,Tennessee,Murfreesboro,136372
South,Texas,Denton,136268
Mountain,Utah,West Valley City,136170
South,Texas,Midland,136089
South,Texas,Carrollton,135710
Pacific,California,Roseville,135329
Midwest,Michigan,Warren,135022
South,South Carolina,Charleston,134875
South,Virginia,Hampton,134669
Mountain,Arizona,Surprise,134085
South,South Carolina,Columbia,133114
South,Florida,Coral Springs,133037
Pacific,California,Visalia,133010
Midwest,Michigan,Sterling Heights,132631
South,Florida,Gainesville,132249
Midwest,Iowa,Cedar Rapids,132228
Northeast,Connecticut,New Haven,131014
Northeast,Connecticut,Stamford,130824
Northeast,New Jersey,Elizabeth,130215
Pacific,California,Concord,129783
Pacific,California,Thousand Oaks,128995
Pacific,Washington,Kent,128458
Pacific,California,Santa Clara,127134
Pacific,California,Simi Valley,126878
Midwest,Kansas,Topeka,126587
South,Texas,Round Rock,123678
Northeast,Connecticut,Hartford,123400
South,Oklahoma,Norman,122843
Pacific,California,Victorville,122441
Midwest,North Dakota,Fargo,122359
Pacific,California,Berkeley,122324
Pacific,California,Vallejo,122105
South,Texas,Abilene,121885
Midwest,Missouri,Columbia,121717
Midwest,Michigan,Ann Arbor,121477
Northeast,Pennsylvania,Allentown,121283
South,Texas,Pearland,119940
South,Texas,Beaumont,119114
South,North Carolina,Wilmington,119045
Midwest,Indiana,Evansville,118930
Mountain,Colorado,Arvada,118807
Mountain,Utah,Provo,117335
Midwest,Missouri,Independence,117306
Midwest,Michigan,Lansing,116986
South,Texas,Odessa,116861
South,Texas,Richardson,116783
Pacific,California,Fairfield,116266
Pacific,California,El Monte,116109
Midwest,Minnesota,Rochester,115733
South,Florida,Clearwater,115513
Pacific,California,Carlsbad,115330
Midwest,Illinois,Springfield,114868
Pacific,California,Temecula,114327
Mountain,Utah,West Jordan,113905
Pacific,California,Costa Mesa,113825
South,Florida,Miami Gardens,113750
Northeast,Massachusetts,Cambridge,113630
South,Texas,College Station,113564
Pacific,California,Murrieta,113326
Pacific,California,Downey,113092
Midwest,Illinois,Peoria,112883
Mountain,Colorado,Westminster,112812
Midwest,Illinois,Elgin,112456
Pacific,California,Antioch,111674
South,Florida,Palm Bay,111657
South,North Carolina,High Point,111513
Northeast,Massachusetts,Lowell,111346
Northeast,New Hampshire,Manchester,111196
Mountain,Colorado,Pueblo,111127
Pacific,Oregon,Gresham,111053
South,South Carolina,North Charleston,110861
Pacific,California,San Buenaventura (Ventura),110790
Pacific,California,Inglewood,110598
South,Florida,Pompano Beach,110473
Mountain,Colorado,Centennial,110250
South,Florida,West Palm Beach,110222
Pacific,Washington,Everett,110079
Pacific,California,Richmond,110040
Pacific,California,Clovis,109691
Mountain,Montana,Billings,109642
Northeast,Connecticut,Waterbury,108629
South,Oklahoma,Broken Arrow,108303
South,Florida,Lakeland,108054
Pacific,California,West Covina,107598
Mountain,Colorado,Boulder,107125
Pacific,California,Daly City,107074
Pacific,California,Santa Maria,107014
Pacific,Oregon,Hillsboro,106894
South,Georgia,Sandy Springs,106739
Pacific,California,Norwalk,106084
Pacific,California,Jurupa Valley,106028
South,Texas,Lewisville,106021
Mountain,Colorado,Greeley,105448
Midwest,Wisconsin,Green Bay,105116
South,Texas,Tyler,104991
South,Texas,League City,104903
Pacific,California,Burbank,104834
Pacific,California,San Mateo,104748
South,Texas,Wichita Falls,104747
Pacific,California,El Cajon,103894
Pacific,California,Rialto,103562
Midwest,Iowa,Davenport,102320
Midwest,Indiana,South Bend,102245
Mountain,New Mexico,Las Cruces,101712
Pacific,California,Vista,101568
Pacific,Washington,Renton,101379
Mountain,Nevada,Sparks,100888
South,Texas,Allen,100685
South,Alabama,Tuscaloosa,100287
South,Texas,San Angelo,100119
Pacific,California,Vacaville,100032
Mountain,Idaho,Meridian,99926
Midwest,Wisconsin,Kenosha,99877
South,Virginia,Roanoke,99837
Northeast,New York,Albany,98251
South,Florida,Boca Raton,98150
Pacific,Washington,Spokane Valley,97847
Mountain,Utah,Orem,97839
Pacific,California,Compton,97612
Pacific,Oregon,Beaverton,97514
Northeast,Pennsylvania,Erie,97369
Midwest,Missouri,Lee's Summit,97290
Midwest,Kansas,Lawrence,96892
Pacific,Washington,Federal Way,96690
Midwest,Michigan,Flint,96448
Pacific,California,San Marcos,96198
Mountain,New Mexico,Rio Rancho,96159
Mountain,Utah,Sandy,96145
Pacific,California,Mission Viejo,96016
Northeast,Massachusetts,Brockton,95672
Mountain,Arizona,Yuma,95502
Pacific,California,South Gate,95430
Northeast,Massachusetts,New Bedford,95120
Pacific,California,Hesperia,94859
South,Georgia,Roswell,94786
South,Virginia,Portsmouth,94572
Pacific,Oregon,Bend,94520
Midwest,Michigan,Dearborn,94491
Mountain,Colorado,Longmont,94341
South,Florida,Sunrise,94323
Northeast,Massachusetts,Quincy,94166
Midwest,Michigan,Livonia,94105
Northeast,Massachusetts,Lynn,94063
South,Florida,Plantation,93909
South,Oklahoma,Lawton,93714
Pacific,Washington,Yakima,93667
Mountain,Idaho,Nampa,93590
Pacific,California,Chico,93293
Pacific,California,Carson,92735
South,Florida,Miami Beach,92307
Pacific,California,Santa Monica,92306
Midwest,Indiana,Carmel,92198
South,North Carolina,Greenville,92156
Pacific,California,Santa Barbara,92101
South,North Carolina,Concord,92067
South,Oklahoma,Edmond,91950
South,North Carolina,Asheville,91902
Midwest,Indiana,Fishers,91832
Pacific,California,Redding,91794
Pacific,California,Westminster,91564
Pacific,California,Tracy,90889
South,Florida,Deltona,90746
Pacific,California,Menifee,90595
Pacific,California,San Leandro,90553
Pacific,California,Livermore,90295
South,Texas,Edinburg,90280
South,Virginia,Suffolk,90237
Pacific,California,Chino,89797
Pacific,California,Indio,89793
Northeast,Massachusetts,Fall River,89420
Pacific,Washington,Bellingham,89045
Northeast,Connecticut,Norwalk,89005
Northeast,Massachusetts,Newton,88994
Pacific,Washington,Kirkland,88630
South,Texas,Sugar Land,88485
Northeast,Pennsylvania,Reading,88423
Northeast,New Hampshire,Nashua,88341
South,Arkansas,Fort Smith,88037
Pacific,California,Citrus Heights,87931
Pacific,California,Hawthorne,87854
Midwest,Illinois,Waukegan,87729
Midwest,Missouri,O'Fallon,87597
Midwest,Illinois,Champaign,87432
Mountain,Utah,Ogden,87031
Pacific,California,Whittier,86838
Pacific,California,Redwood City,86685
Northeast,New Jersey,Clifton,86607
South,Florida,Palm Coast,86516
Pacific,California,Newport Beach,86160
Midwest,Minnesota,Duluth,86066
Midwest,Minnesota,Bloomington,85866
Pacific,California,Alhambra,85396
South,Arkansas,Fayetteville,85257
Northeast,Connecticut,Danbury,85246
Pacific,California,Hemet,85160
Midwest,Indiana,Bloomington,85071
Northeast,New Jersey,Trenton,84964
South,Alabama,Hoover,84920
South,Florida,Largo,84754
South,Texas,Mission,84424
Mountain,Utah,St. George,84405
South,Texas,Conroe,84378
South,Georgia,Johns Creek,84350
Pacific,California,Lake Forest,84293
Mountain,Arizona,Avondale,84025
South,Texas,Bryan,84021
Midwest,Michigan,Troy,83813
Mountain,New Mexico,Santa Fe,83776
Pacific,California,Merced,83081
Pacific,California,Buena Park,83015
Pacific,California,Pleasanton,83007
Midwest,Iowa,Sioux City,82514
South,Florida,Melbourne,82011
Pacific,Oregon,Medford,81780
Midwest,Michigan,Westland,81747
Pacific,Washington,Kennewick,81607
South,Texas,Longview,81522
Pacific,California,Mountain View,81438
Northeast,Massachusetts,Somerville,81360
Northeast,Rhode Island,Cranston,81202
Midwest,Michigan,Farmington Hills,81050
South,Virginia,Lynchburg,80995
Pacific,California,Lakewood,80967
Northeast,Rhode Island,Warwick,80871
Pacific,Washington,Auburn,80776
Midwest,Minnesota,Brooklyn Park,80581
South,Florida,Deerfield Beach,80571
Pacific,California,Tustin,80498
Pacific,California,Chino Hills,80374
Northeast,Massachusetts,Lawrence,80162
Northeast,New York,New Rochelle,79946
South,Florida,Fort Myers,79943
Mountain,Arizona,Goodyear,79858
Pacific,California,Napa,79774
South,Arkansas,Springdale,79599
South,Texas,Pharr,79487
Pacific,California,Manteca,79268
Pacific,California,Alameda,79177
Midwest,Ohio,Parma,79167
South,Texas,New Braunfels,79152
Midwest,Minnesota,Plymouth,78395
South,Tennessee,Franklin,78321
Pacific,California,Milpitas,78106
Pacific,California,Folsom,78038
Midwest,Illinois,Bloomington,77934
Pacific,California,Perris,77879
Pacific,California,Bellflower,77772
South,Florida,Boynton Beach,77702
Northeast,Pennsylvania,Scranton,77605
Midwest,Wisconsin,Racine,77542
South,Louisiana,Lake Charles,77117
Pacific,California,Upland,76999
South,Texas,Baytown,76804
Mountain,Colorado,Loveland,76701
Mountain,Utah,Layton,76691
Midwest,Indiana,Hammond,76618
South,North Carolina,Gastonia,76593
